config_id,series,arm,runtime,workload,concurrency_target,repeats,requests,error_rate_pct,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,e2e_p50_ms,e2e_p95_ms,e2e_p99_ms,backend_p50_ms,backend_p95_ms,backend_p99_ms,overhead_p50_ms,overhead_p95_ms,overhead_p99_ms,tokens_per_sec_median,tokens_per_sec_mean,repeat_variance_flag
validate-json-c1,validate-json,A,mock,synthetic,1,1,79,0.0,,,,415.262,417.69,419.565,414.16,416.189,416.714,0.995,1.547,3.517,,,
validate-json-c2,validate-json,A,mock,synthetic,2,1,160,0.0,,,,415.863,418.205,422.069,414.594,416.77,420.816,1.143,1.812,2.238,,,
validate-json-c5,validate-json,A,mock,synthetic,5,1,364,0.0,,,,414.895,417.251,418.704,413.884,415.754,417.388,1.078,1.783,2.292,,,
validate-json-c10,validate-json,A,mock,synthetic,10,1,731,0.0,,,,415.141,416.964,418.29,414.078,415.654,416.249,1.086,1.778,2.246,,,
validate-json-c20,validate-json,A,mock,synthetic,20,1,1432,0.0,,,,414.898,416.781,417.636,413.818,415.35,416.351,1.05,1.76,2.223,,,
validate-json-c50,validate-json,A,mock,synthetic,50,1,3641,0.0,,,,414.363,416.588,418.323,413.355,415.218,416.747,0.995,1.763,2.671,,,
validate-stream-c1,validate-stream,A,mock,synthetic,1,1,79,0.0,104.266,105.714,106.574,415.027,416.389,417.214,413.817,415.254,415.732,1.011,1.567,1.89,103.007,103.003,
validate-stream-c2,validate-stream,A,mock,synthetic,2,1,160,0.0,104.572,105.754,106.58,414.796,416.591,416.97,413.729,415.169,415.512,1.074,1.57,1.685,103.135,103.119,
validate-stream-c5,validate-stream,A,mock,synthetic,5,1,364,0.0,104.047,105.825,106.445,414.291,415.847,416.514,413.34,414.59,415.177,0.953,1.626,1.988,103.165,103.153,
validate-stream-c10,validate-stream,A,mock,synthetic,10,1,731,0.0,103.667,105.174,106.115,413.916,415.416,416.278,412.927,414.248,414.74,0.914,1.658,1.993,103.154,103.157,
validate-stream-c20,validate-stream,A,mock,synthetic,20,1,1432,0.0,103.317,105.042,106.95,413.483,415.336,418.253,412.631,414.104,416.339,0.851,1.662,2.54,103.162,103.156,
validate-stream-c50,validate-stream,A,mock,synthetic,50,1,3641,0.0,102.961,105.116,108.172,413.097,415.243,418.24,412.318,413.967,416.648,0.741,1.628,2.395,103.185,103.181,
